# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "12" "-p" "--countReadPairs" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "/scratch/leuven/357/vsc35707/annotation/func-annotation/results/08_minimal_annotation/braker.minimal.annotated.gtf" "-o" "/scratch/leuven/357/vsc35707/rna-seq/counts/gene_counts.txt" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam" "/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/LW_06.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_01.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_02.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_03.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_04.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_05.filtered.sorted.bam	/scratch/leuven/357/vsc35707/rna-seq/filtered_bams/SW_06.filtered.sorted.bam
g4555	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52237570;52237813;52238251;52239407;52239962;52242990;52243255;52243521;52243858	52237754;52238190;52238758;52239897;52240158;52243192;52243457;52243799;52243870	-;-;-;-;-;-;-;-;-	2457	1006	2819	4448	4442	2816	6105	3972	4156	6210	5182	4133	7779
g4556	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52244883;52245478;52245804;52246039;52246583;52248125;52248436;52248544;52248838	52245070;52245739;52245982;52246290;52247276;52248375;52248488;52248786;52248947	-;-;-;-;-;-;-;-;-	2232	176	143	194	230	143	137	191	171	180	147	201	242
g4557	CHR2	52245989	52246252	-	264	0	0	0	0	0	0	0	0	0	0	0	0
g4558	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52249795;52249795;52250071;52250071;52250389;52250389;52250643;52250643;52250939;52250939;52251599;52251599;52252513;52252513;52253001;52253001;52253192;52253192;52254271;52254544;52255026;52255154;52255442	52250015;52250015;52250329;52250329;52250558;52250558;52250882;52250882;52251128;52251128;52252453;52252453;52252697;52252697;52253125;52253125;52253564;52253564;52254487;52254546;52255082;52255388;52255444	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3133	685	409	442	479	407	434	515	568	516	512	622	604
g4559	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52255878;52256214;52257814;52258073;52258406;52259260;52260130;52260401;52260726	52256156;52256557;52258010;52258346;52258591;52259501;52260346;52260669;52261390	+;+;+;+;+;+;+;+;+	2673	534	496	676	542	571	804	528	451	680	661	727	853
g4560	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52262460;52263378;52264931;52265044;52270842;52271204;52272999;52273355;52273564;52274016;52274362;52274726;52276154;52292048;52292048;52294272;52294272;52297366;52297366;52297555;52297555;52300991;52300991;52301838;52301838;52302846;52302846;52303136;52303136;52303383;52303383;52303753;52303753;52304053;52304053;52308319;52308319;52309734;52309734;52310104;52310104;52310361;52310361;52310641;52310641;52311133;52311133	52262506;52263652;52264980;52265101;52270963;52271422;52273295;52273504;52273770;52274302;52274657;52274884;52276216;52293406;52293371;52294410;52294410;52297444;52297444;52297610;52297610;52301065;52301065;52302082;52302082;52303072;52303072;52303329;52303329;52303689;52303689;52303975;52303975;52304140;52304140;52308656;52308656;52309919;52309919;52310283;52310283;52310572;52310572;52310826;52310826;52311144;52311144	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6336	2099	6752	5952	3787	3715	3941	4968	7426	5804	5164	6501	4755
g4561	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52357025;52357223;52357405;52357662;52357885;52358110	52357148;52357338;52357602;52357824;52358051;52358325	+;+;+;+;+;+	984	923	1466	1285	1165	1099	911	1146	1294	920	1412	1274	1006
g4562	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52361324;52362845;52363144;52363370;52364153;52364383;52365145	52362247;52363087;52363311;52363627;52364320;52364613;52365207	-;-;-;-;-;-;-	2055	351	625	687	420	473	764	608	625	791	638	758	784
g4563	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52366227;52366290;52366290;52366406;52366406;52366406;52366885;52366885;52366885;52367116;52367116;52367116;52367388;52367388;52367594;52367594;52367594	52366347;52366347;52366347;52366829;52366829;52366829;52367059;52367059;52367059;52367321;52367321;52367321;52367450;52367450;52367837;52367837;52367837	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1233	418	774	825	484	500	526	988	951	910	733	1166	751
g4564	CHR2;CHR2	52369137;52369389	52369312;52369488	-;-	276	1818	1111	1091	1373	849	820	1208	1452	1291	2591	1712	1464
g4565	CHR2;CHR2;CHR2;CHR2	52369777;52370311;52370510;52370799	52370119;52370456;52370734;52371068	+;+;+;+	984	358	497	450	332	319	274	430	424	304	573	451	444
g4566	CHR2;CHR2	52371104;52371374	52372171;52372171	+;+	1068	203	149	98	141	150	95	72	91	124	170	122	83
g4567	CHR2;CHR2;CHR2	52372552;52373153;52373434	52373088;52373332;52373769	+;+;+	1053	921	736	709	650	748	433	448	518	456	809	502	410
g4568	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52374456;52374550;52374704;52374932;52375094;52375230;52375416;52375844;52376042	52374473;52374646;52374871;52375032;52375174;52375360;52375524;52375984;52376464	+;+;+;+;+;+;+;+;+	1269	23757	26286	37026	29079	27035	22025	12867	23641	17175	20602	18292	15788
g4569	CHR2;CHR2;CHR2	52376997;52377476;52377832	52377413;52377655;52378155	+;+;+	921	1105	590	758	804	742	675	942	923	766	1049	1053	1004
g4570	CHR2	52379006	52379305	+	300	24	62	49	21	22	21	48	70	45	77	64	55
g4571	CHR2	52395700	52396356	+	657	16	129	87	41	36	38	67	124	90	93	76	117
g4572	CHR2;CHR2;CHR2;CHR2	52407353;52409587;52409918;52410362	52408120;52409845;52410018;52410508	+;+;+;+	1275	186	652	609	342	342	396	563	695	589	618	796	678
g4573	CHR2	52413803	52414060	+	258	1799	1342	1242	1387	1597	1134	706	1059	888	1092	985	851
g4574	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52441403;52441603;52441859;52442157;52442365;52442589;52442787;52443049;52443349;52443490;52443873;52444208	52441542;52441796;52442095;52442298;52442532;52442723;52442976;52443278;52443416;52443819;52444144;52444519	+;+;+;+;+;+;+;+;+;+;+;+	2418	1727	2144	2137	1656	1720	1449	1302	1711	1371	1586	1686	1537
g4575	CHR2;CHR2	52444727;52445414	52445359;52445647	+;+	867	262	145	124	165	141	99	187	161	192	272	200	198
g4576	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52445784;52451526;52452043;52452518;52453531;52453740;52453972;52454672	52445870;52451742;52452413;52453471;52453683;52453916;52454178;52454806	+;+;+;+;+;+;+;+	2301	21	204	157	73	60	110	305	266	254	167	412	280
g4577	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52458804;52458804;52459048;52459048;52459295;52459295;52459754;52459754;52460147;52460147;52460364;52460364;52462267;52462567;52468660;52469133	52458980;52458980;52459237;52459237;52459691;52459691;52460089;52460089;52460299;52460299;52461240;52461695;52462508;52468591;52468885;52469204	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9150	3412	4491	4630	3790	3949	4689	4060	5100	4637	4280	4750	4568
g4578	CHR2;CHR2;CHR2	52469808;52469936;52470167	52469874;52470099;52470370	+;+;+	435	1731	995	1242	1159	1125	1178	848	1074	1008	1215	982	1105
g4579	CHR2;CHR2	52470426;52471225	52471168;52471276	-;-	795	173	130	95	84	87	105	120	97	114	217	112	94
g4580	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52471528;52471783;52471986;52472161;52472410;52473667	52471712;52471924;52472103;52472341;52473183;52473769	-;-;-;-;-;-	1503	47744	35748	35941	48169	24704	37231	41679	31456	22915	41106	34765	39822
g4581	CHR2;CHR2;CHR2;CHR2;CHR2	52474741;52475707;52476045;52476563;52477381	52474922;52475969;52476504;52477078;52477462	-;-;-;-;-	1503	587	595	702	695	722	764	775	930	501	1428	1225	909
g4582	CHR2;CHR2;CHR2;CHR2	52478157;52478303;52478553;52478767	52478240;52478497;52478702;52478901	+;+;+;+	564	1164	697	825	914	625	898	919	1055	786	940	1083	998
g4583	CHR2;CHR2;CHR2	52479384;52479604;52479745	52479538;52479687;52479790	-;-;-	285	3072	2698	2692	2872	3037	2202	1956	2607	2135	3539	2574	2092
g4584	CHR2;CHR2;CHR2	52480310;52481567;52481796	52481511;52481702;52482062	+;+;+	1605	3362	4501	3939	4219	3349	3360	1964	3406	2213	3056	2565	2276
g4585	CHR2;CHR2	52482320;52482514	52482438;52483012	+;+	618	1211	836	896	876	826	885	732	928	610	1004	867	935
g4586	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52483266;52483266;52483680;52483680;52484024;52484245;52484245;52484863;52484863;52486209;52486209	52483598;52483598;52484173;52483969;52484173;52484795;52484795;52486148;52486148;52487135;52487135	-;-;-;-;-;-;-;-;-;-;-	3591	2569	2524	2228	2381	2137	2907	2608	3103	3134	2858	3197	2879
g4587	CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2;CHR2	52487825;52488102;52488336;52488540;52488877;52489105;52489349;52489680;52489884;52490251;52490522	52488039;52488268;52488484;52488807;52489043;52489282;52489606;52489817;52490184;52490460;52490618	+;+;+;+;+;+;+;+;+;+;+	2148	2690	2847	2270	2662	2260	2340	2280	3510	3169	3408	3398	2599
g4588	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	637221;637360;637541;637778;639477;639816;640575;641021;641321	637288;637474;637719;639411;639750;640503;640964;641254;641464	+;+;+;+;+;+;+;+;+	3726	1203	1258	1209	1360	1403	1512	1220	1435	1289	1478	1664	1756
g4589	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	642766;642766;642766;642924;642924;642924;643073;643073;643073;643340;643340;643340;643560;643560;643560;643827;643827;643827;644044;644044;644044;644640;644640;644640;645022;645022;645022;645440;645440;645440;645695;645695;645695;645981;645981;645981;646265;646265;646265;646818;646818;646818;647084;647084;647084;648144;648144;648144;648526;648612;648612;648612;649396;649396;649396;649704;649704;649704;649985;649985;649985;650174;650174;650174;650395;650395;650395;650542;650542;650542	642858;642858;642858;643006;643006;643006;643279;643279;643279;643493;643493;643493;643769;643769;643769;643974;643974;643974;644567;644567;644567;644961;644961;644961;645384;645384;645384;645636;645636;645636;645923;645923;645923;646191;646191;646188;646762;646762;646762;647013;647013;647013;648079;648079;648079;648252;648252;648252;648540;649300;649300;649300;649637;649637;649637;649923;649923;649923;650116;650116;650116;650329;650329;650329;650480;650480;650480;650596;650596;650596	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6135	935	1600	1817	1243	1253	1493	1438	2138	1730	1793	1971	1749
g4590	CHR3;CHR3;CHR3;CHR3	651319;651550;651796;652736	651495;651736;652579;652775	-;-;-;-	1188	10326	9307	11218	10387	8615	11243	8363	10033	9342	9143	11216	10491
g4591	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	654153;654153;654153;654153;654400;654400;654400;654400;654782;654782;654782;654782;655012;655012;655012;655012;655232;655232;655232;655232;655492;655492;655492;655492;656168;656168;656168;656168;656457;656457;656457;656457;660080;660080;660080;660080;660676;660676;660676;660676;660871;660871;660871;663261;663261;663261;665763;666878;671102;671221;671764	654335;654335;654335;654335;654713;654713;654713;654713;654946;654946;654946;654946;655172;655172;655172;655172;655431;655431;655431;655431;655992;655992;655992;655992;656400;656400;656400;656400;656697;656697;656697;656697;660337;660337;660337;660337;661099;660816;660819;660819;661099;661099;661099;663283;663283;663283;666328;667017;671159;671330;671830	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3644	820	1615	1569	1020	942	1280	1531	2138	2111	1310	2075	1874
g4592	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	673829;674199;674395;675239;676613;677356;678540;679157	673904;674310;674927;676548;676929;677846;679094;679461	+;+;+;+;+;+;+;+	3699	61	120	133	104	108	131	269	200	277	143	462	207
g4593	CHR3;CHR3	680456;680951	680843;681021	-;-	459	35595	27731	26312	31191	29189	30488	21033	33809	31231	26734	30285	35222
g4594	CHR3;CHR3;CHR3;CHR3	681690;681777;682073;682206	681707;682017;682147;682495	+;+;+;+	624	384	225	210	189	185	148	201	173	137	193	189	201
g4595	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	683550;683550;683550;683550;684456;684456;684456;684456;685481;685481;685481;685481;685770;685770;685770;685770;686088;686088;686088;686088;686397;686397;686397;686397;687438;687453;687453;687453;687821;687866;687866;687866;688359;688359;688359;688359;688867;688867;688867;688867;690512;690512;690512;690512;690866;690866;690866;690866;691507;691507;691507;691537;691695;691695;691695;691695;692533;692533;692533;692533;692769;692769;692769;692769;693063;693063;693063;693063;694177;694177;694177;694177;694645;694645;694645;694645	683631;683631;683631;683631;684590;684590;684590;684590;685704;685704;685704;685704;686018;686018;686018;686018;686327;686327;686327;686327;686661;686661;686661;686661;687677;687677;687677;687677;688165;688165;688165;688165;688801;688801;688801;688801;690451;690451;690451;690451;690801;690801;690801;690801;691023;691023;691023;691023;691617;691617;691617;691617;692472;692472;692472;692472;692700;692700;692700;692700;693002;693002;693002;693002;694119;694119;694119;694119;694520;694520;694520;694520;695541;695541;695541;695541	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7845	753	2923	3136	1916	2028	3058	2628	3779	2849	3393	3669	3856
g4596	CHR3;CHR3;CHR3;CHR3	698856;698966;700077;700491	698907;700010;700435;700702	+;+;+;+	1668	1769	1707	1707	1611	1434	1659	1336	1330	1661	1573	1530	1617
g4597	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	723455;723455;726011;726011;726295;726295;727458;727458;727697;727697;727999;727999;728576;728576;729236;729236;729580;729580;730185;730185;730762;730762;731281;731281	724289;724289;726157;726157;726923;726923;727634;727634;727933;727933;728115;728115;728747;728807;729518;729518;730113;730113;730455;730455;730905;730905;731400;731400	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3726	986	1733	1497	1224	1282	1188	1653	2458	2067	1810	2354	2016
g4598	CHR3;CHR3;CHR3	732728;733155;733888	733089;733827;733932	-;-;-	1080	2166	1823	3212	2827	2366	3593	3009	2847	4930	3195	3610	4307
g4599	CHR3;CHR3;CHR3;CHR3;CHR3	734215;735074;736350;736645;737005	735021;735661;736593;736941;737105	-;-;-;-;-	2037	1010	1043	775	912	877	933	826	1021	816	949	963	923
g4600	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	738285;738730;738846;739723;739921;740227;740646;741334	738362;738762;738911;739859;740170;740578;740840;741851	+;+;+;+;+;+;+;+	1629	605	1099	1397	1284	880	1657	1090	1248	986	1164	1394	1752
g4601	CHR3	741462	741851	+	390	0	0	0	0	0	0	0	0	0	0	0	0
g4602	CHR3;CHR3;CHR3	948886;952084;952398	949313;952225;952616	+;+;+	789	96	125	112	94	111	143	192	146	174	128	271	139
g4603	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	958456;958456;959068;959161;959161;959427;959427	959103;958992;959103;959370;959370;959621;959621	-;-;-;-;-;-;-	1053	1338	2541	3789	3341	2589	4051	3739	4304	5265	4795	4815	6748
g4604	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1054548;1054884;1055274;1055541;1055789;1056071;1056494	1054821;1055002;1055486;1055728;1056015;1056430;1056603	+;+;+;+;+;+;+	1491	1342	1022	808	957	1011	871	788	1009	976	958	1081	969
g4605	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1056830;1057005;1057138;1057363;1057620;1058111;1058349	1056945;1057077;1057302;1057560;1058051;1058285;1058512	-;-;-;-;-;-;-	1323	3215	3549	2889	3011	3279	2762	2412	2447	2488	2273	2630	3289
g4606	CHR3;CHR3;CHR3;CHR3;CHR3	1062077;1062834;1063568;1101749;1104136	1062762;1063476;1063855;1101899;1104842	-;-;-;-;-	2475	181	723	645	356	579	439	323	757	286	421	375	276
g4607	CHR3;CHR3;CHR3	1202647;1202874;1203321	1202822;1203260;1203339	-;-;-	582	0	0	0	0	0	0	0	0	0	0	0	0
g4608	CHR3	1202647	1203339	-	693	0	0	0	0	0	0	0	0	0	0	0	0
g4609	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1328697;1328951;1330171;1330383;1330606;1334893;1335343;1335650;1352697;1355309;1356100;1357130;1357458;1361457;1361642;1367068;1367303;1413141	1328716;1329290;1330308;1330541;1330941;1335034;1335584;1336161;1352865;1356040;1356583;1357397;1357684;1361579;1361787;1367221;1367383;1413244	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4377	1296	2115	2238	1752	1668	1694	1491	2869	2053	2426	2744	2185
g4610	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1413556;1413693;1414104;1414412;1414637;1414865;1415074;1415439	1413631;1414043;1414357;1414580;1414804;1415017;1415334;1415644	+;+;+;+;+;+;+;+	1638	1268	1101	1144	1075	1020	937	798	1327	973	1187	957	1053
g4611	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1416644;1417554;1420004;1423124;1423401;1426719;1436171;1436909	1416732;1417813;1420188;1423206;1423550;1426953;1436351;1437132	-;-;-;-;-;-;-;-	1407	87	51	48	56	13	117	54	24	19	28	127	58
g4612	CHR3;CHR3;CHR3;CHR3	1477945;1478152;1481258;1481620	1478087;1478686;1481548;1481724	+;+;+;+	1074	108	359	276	275	221	202	251	345	206	202	285	271
g4613	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1482926;1483324;1483532;1483770;1484018;1484134;1484437;1484704;1484924	1483045;1483468;1483707;1483958;1484071;1484376;1484651;1484836;1484998	-;-;-;-;-;-;-;-;-	1350	555	373	369	352	346	281	406	327	398	396	438	357
g4614	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1485691;1520032;1530002;1530002;1530583;1530583;1530858;1530858	1485720;1520052;1530110;1530110;1530747;1530747;1530922;1530922	+;+;+;+;+;+;+;+	390	914	1131	996	1123	859	1211	1355	1341	1065	1294	1476	1404
g4615	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1533671;1533671;1533671;1534055;1534055;1534055;1534347;1534347;1534347;1534485;1534485;1534485;1534693;1534693;1534693;1535443;1535443;1535443;1535443;1535515;1535515;1535788;1535788;1535788;1535788;1535788;1535788;1536093;1536093;1536093;1536093;1536093;1536093;1536514;1536514;1536514;1536514;1536529;1536529;1536722;1536722;1536722;1536722;1536722;1536722	1533730;1533730;1533730;1534282;1534282;1534282;1534587;1534587;1534587;1534955;1534955;1534955;1534955;1534955;1534955;1535664;1535664;1535664;1535664;1535664;1535664;1536033;1536033;1536033;1536033;1536033;1536033;1536454;1536454;1536454;1536454;1536454;1536454;1536666;1536666;1536666;1536666;1536666;1536666;1536899;1536899;1536899;1536899;1536899;1536899	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2058	5005	5281	5685	5987	5159	6204	4583	5471	4544	5173	5925	5988
g4616	CHR3;CHR3;CHR3	1538456;1538649;1538786	1538589;1538727;1538788	-;-;-	216	930	550	468	559	589	481	883	765	771	1388	1090	640
g4617	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1541000;1541000;1541000;1541333;1541333;1541333;1542491;1542491	1541268;1541268;1541268;1541527;1541498;1541521;1542536;1542536	-;-;-;-;-;-;-;-	510	26408	26172	26920	24514	26973	34119	2846	3521	4274	2689	2087	3179
g4618	CHR3;CHR3;CHR3;CHR3;CHR3	1543456;1543853;1544407;1544577;1544912	1543640;1544032;1544519;1544760;1544966	-;-;-;-;-	717	284	313	170	176	196	112	134	83	121	138	162	253
g4619	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1545612;1545808;1546005;1546224;1546528;1546826;1546998	1545734;1545948;1546168;1546464;1546755;1546932;1547139	+;+;+;+;+;+;+	1146	4310	4152	6205	5680	4679	8790	3738	3468	4861	3733	5987	6306
g4620	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1547529;1547863;1548087;1548357;1548504;1549658;1549845	1547808;1548029;1548297;1548448;1548614;1549787;1549849	-;-;-;-;-;-;-	996	232	223	256	227	235	283	257	179	326	222	336	239
g4621	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1550352;1550434;1550743;1550922;1551363;1551725;1552071;1552235	1550380;1550683;1550865;1551309;1551670;1552014;1552181;1552364	+;+;+;+;+;+;+;+	1629	210	95	113	105	119	86	128	105	67	116	107	95
g4622	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1611842;1628514;1629342;1629608;1630387;1630924;1631311	1611986;1629043;1629537;1630326;1630668;1631245;1631606	+;+;+;+;+;+;+	2490	39	201	163	90	86	111	170	210	212	189	214	251
g4623	CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3;CHR3	1634537;1634726;1634926;1635360;1635636;1635863;1636272;1636984	1634635;1634873;1635307;1635580;1635804;1636214;1636923;1637129	-;-;-;-;-;-;-;-	2169	415	1010	819	552	487	414	646	1105	935	1208	1025	1053
